cbgs_id,visitor_count,median_age,precount_positive,all_positive
53001950400,16,25.4,0,0
53005010100,46,46.1,0,0
53005010201,71,42.3,0,0
53005010202,53,32.9,0,0
53005010300,60,32.2,0,0
53005010809,107,35.1,0,0
53005010813,137,38.7,0,0
53005010902,20,29.0,0,0
53005011001,64,32.8,0,0
53005011002,25,28.6,0,0
53005011200,50,24.8,0,0
53005011800,49,40.7,0,1
53005011900,34,40.3,0,0
53007960200,12,49.7,0,0
53007960300,53,40.4,0,0
53007960400,16,44.6,1,1
53007960700,26,47.4,0,0
53007960801,8,49.4,0,0
53007960802,56,38.7,0,0
53007961000,25,35.5,0,0
53007961100,53,28.5,0,0
53009001100,4,37.6,0,0
53009001300,11,49.4,0,0
53011040203,47,42.8,0,0
53011040302,83,36.7,0,0
53011040415,40,33.9,0,0
53011040507,20,37.5,0,0
53011040609,54,38.4,0,1
53011040703,36,37.1,0,0
53011040710,108,34.3,0,0
53011040806,28,39.4,0,0
53011040908,64,40.7,0,0
53011041108,37,39.4,0,0
53011041203,57,34.6,0,0
53011041206,36,38.4,0,0
53011041327,70,36.2,0,0
53011041328,74,39.2,0,0
53011041330,32,35.1,0,0
53011041800,21,33.2,0,0
53011042600,33,42.6,0,0
53015000601,32,39.9,0,0
53015001502,49,37.0,0,0
53015001900,40,43.1,0,0
53015002001,20,50.7,0,0
53017950100,12,34.5,0,0
53017950500,25,36.6,0,0
53017950700,51,29.7,0,0
53017950800,32,33.7,0,0
53021020400,80,28.1,0,0
53021020502,57,35.5,0,0
53021020800,21,30.9,0,1
53025010400,42,34.5,0,0
53025010600,37,23.9,0,1
53025011000,102,36.3,0,0
53025011100,97,31.4,0,0
53025011402,13,25.6,0,0
53027000200,13,60.1,0,0
53027001000,19,30.9,0,0
53029970300,24,46.1,0,0
53029970602,13,32.5,0,0
53029970700,12,31.1,0,0
53029971000,40,51.7,1,2
53029971300,14,58.6,0,0
53029971400,16,55.9,0,0
53029971600,22,50.7,0,0
53029971800,16,60.1,0,0
53029971900,11,57.3,0,1
53029972000,4,55.2,0,0
53029972100,4,56.7,0,0
53031950202,16,52.1,0,0
53031950300,22,63.1,0,0
53031950500,16,62.1,0,0
53031950601,47,56.5,0,0
53031950602,12,50.4,0,0
53031950702,16,47.7,0,0
53033000100,50,34.9,20,217
53033000200,33,38.1,35,191
53033000300,24,36.4,9,67
53033000401,32,46.2,25,135
53033000402,17,44.0,20,126
53033000500,26,51.9,4,47
53033000600,36,36.9,36,324
53033000700,16,34.5,14,116
53033000800,8,41.5,3,47
53033000900,13,52.2,3,41
53033001000,4,38.8,4,32
53033001100,9,42.1,4,37
53033001200,50,34.7,21,168
53033001300,32,35.6,14,102
53033001400,20,35.2,13,80
53033001500,20,45.1,2,56
53033001600,8,42.4,11,68
53033001701,6,33.5,10,77
53033001702,24,37.4,25,134
53033001800,16,32.8,12,104
53033001900,8,34.1,3,78
53033002000,12,38.3,5,39
53033002100,16,36.1,2,57
53033002200,20,42.0,4,56
53033002400,16,40.9,4,25
53033002500,16,37.9,9,34
53033002600,35,35.6,8,69
53033002700,20,35.4,11,73
53033002800,16,36.9,10,61
53033002900,17,39.8,12,57
53033003000,28,38.1,8,57
53033003100,28,41.5,10,86
53033003200,16,36.8,23,101
53033003300,31,34.9,6,80
53033003400,8,36.3,2,48
53033003500,14,39.5,3,31
53033003600,30,31.8,24,149
53033003800,8,34.9,10,25
53033003900,20,41.5,4,37
53033004000,30,37.2,14,51
53033004100,40,39.1,8,101
53033004200,28,41.7,16,87
53033004301,21,29.9,10,49
53033004400,28,25.1,7,144
53033004500,12,28.7,5,50
53033004600,17,37.7,4,34
53033004700,28,34.0,24,163
53033004800,8,33.7,8,49
53033004900,16,30.6,18,94
53033005000,12,30.2,9,70
53033005100,16,38.3,8,53
53033005200,29,24.5,15,85
53033005301,14,21.9,9,345
53033005302,8,19.4,2,53
53033005400,16,31.8,9,84
53033005600,45,47.2,3,97
53033005700,61,41.2,6,61
53033005801,44,33.6,5,85
53033005802,8,33.7,8,86
53033005900,33,28.0,5,83
53033006000,46,34.0,23,131
53033006100,12,35.4,16,100
53033006200,19,41.1,8,73
53033006300,13,45.4,18,85
53033006400,12,36.5,6,38
53033006500,8,37.7,4,66
53033006600,13,30.1,5,81
53033006700,40,30.3,30,188
53033006800,4,37.2,0,34
53033006900,8,38.4,5,39
53033007000,45,35.9,8,106
53033007100,4,31.4,6,112
53033007200,33,30.6,14,183
53033007300,8,32.4,41,220
53033007401,9,32.7,16,89
53033007402,16,30.7,10,79
53033007500,25,31.2,21,162
53033007600,16,33.5,8,64
53033007700,20,34.4,11,88
53033007800,55,42.3,10,63
53033007900,37,33.4,19,121
53033008001,8,35.2,9,133
53033008002,12,39.2,4,75
53033008100,18,43.2,32,206
53033008200,37,35.0,16,98
53033008300,8,36.8,8,70
53033008400,8,31.8,6,103
53033008500,12,37.4,20,170
53033008600,21,23.8,22,155
53033008700,8,32.3,9,111
53033008800,8,34.3,8,45
53033008900,32,36.9,8,111
53033009000,54,37.9,22,169
53033009100,12,48.6,9,53
53033009200,33,45.3,41,188
53033009300,24,39.4,19,169
53033009400,32,35.3,35,189
53033009500,29,41.9,16,148
53033009600,21,49.1,5,143
53033009701,47,45.6,5,111
53033009702,27,41.7,11,106
53033009800,26,40.6,10,108
53033009900,24,39.6,8,109
53033010001,4,35.2,22,158
53033010002,12,37.2,11,129
53033010100,28,36.7,73,414
53033010200,16,42.9,15,111
53033010300,12,35.1,31,228
53033010401,34,44.3,7,124
53033010402,24,37.8,22,138
53033010500,20,39.7,31,190
53033010600,40,42.4,12,122
53033010701,12,34.3,11,111
53033010702,24,30.6,34,155
53033010800,12,37.7,12,158
53033010900,12,43.0,9,43
53033011001,21,37.6,14,215
53033011002,12,34.9,9,198
53033011101,13,36.8,22,251
53033011102,24,36.1,22,217
53033011200,46,37.8,16,171
53033011300,26,39.5,37,258
53033011401,16,34.1,10,144
53033011402,22,37.1,18,199
53033011500,20,39.7,7,72
53033011600,28,45.7,7,131
53033011700,16,43.5,35,229
53033011800,24,37.8,41,354
53033011900,15,41.1,28,260
53033012000,18,40.2,6,75
53033012100,12,48.2,7,64
53033020100,25,52.0,40,102
53033020200,33,47.4,47,147
53033020300,47,37.0,30,229
53033020401,28,39.3,20,97
53033020402,28,37.7,10,92
53033020500,54,40.0,35,212
53033020600,28,41.9,15,67
53033020700,18,39.4,14,101
53033020800,21,48.9,11,94
53033020900,12,43.6,6,70
53033021000,47,41.4,21,148
53033021100,39,38.3,63,184
53033021300,20,44.9,9,83
53033021400,24,44.3,14,64
53033021500,20,46.0,6,56
53033021600,38,41.9,18,78
53033021700,52,36.7,40,224
53033021802,20,32.8,11,113
53033021803,12,40.6,15,90
53033021804,16,35.3,15,122
53033021903,47,38.3,24,134
53033021904,24,37.1,22,109
53033021905,42,36.2,18,112
53033021906,48,37.1,16,80
53033022001,37,43.8,12,102
53033022003,46,36.4,17,97
53033022005,30,32.3,15,100
53033022006,44,41.7,100,166
53033022101,53,41.9,15,77
53033022102,44,39.6,10,76
53033022201,35,37.9,13,67
53033022202,59,35.7,20,139
53033022203,63,41.6,15,91
53033022300,31,48.8,3,40
53033022400,143,39.0,10,136
53033022500,65,40.4,13,173
53033022603,41,36.1,18,95
53033022604,45,37.6,14,74
53033022605,32,32.3,16,90
53033022606,55,37.5,26,73
53033022701,26,39.1,2,44
53033022702,43,36.0,7,48
53033022703,21,37.2,5,48
53033022801,46,32.9,9,125
53033022802,49,35.8,5,60
53033022803,45,33.4,17,82
53033022901,29,45.4,5,44
53033022902,76,40.5,21,82
53033023000,65,41.3,28,126
53033023100,29,43.1,3,61
53033023201,20,31.8,14,142
53033023202,8,36.2,38,158
53033023300,87,39.0,23,166
53033023401,47,37.8,17,124
53033023403,38,40.8,5,44
53033023404,38,38.8,5,57
53033023500,52,39.8,4,55
53033023601,66,37.7,15,96
53033023603,8,32.5,13,109
53033023604,41,37.7,18,134
53033023700,37,38.8,10,68
53033023801,13,35.0,13,53
53033023803,18,33.0,16,83
53033023804,52,34.4,14,102
53033023900,66,44.5,20,150
53033024000,68,40.2,14,117
53033024100,32,47.2,10,99
53033024200,31,46.8,9,45
53033024300,67,46.2,27,131
53033024400,44,38.7,9,54
53033024500,24,46.0,8,70
53033024601,43,48.0,10,61
53033024602,30,46.0,14,52
53033024701,36,39.9,4,55
53033024702,49,44.7,14,156
53033024800,40,36.8,16,113
53033024901,61,46.2,6,44
53033024902,39,42.2,7,57
53033024903,85,44.8,8,68
53033025001,51,39.0,9,61
53033025003,50,40.1,8,95
53033025005,79,39.7,6,66
53033025006,65,38.5,11,69
53033025101,43,35.6,21,181
53033025102,66,36.2,16,227
53033025200,46,37.4,33,283
53033025301,53,37.3,16,235
53033025302,32,42.0,22,171
53033025400,53,34.3,36,321
53033025500,28,35.1,28,228
53033025601,20,38.0,12,151
53033025602,59,40.9,9,125
53033025701,44,33.2,37,217
53033025702,12,40.4,16,98
53033025803,24,31.4,25,216
53033025804,21,38.5,20,119
53033025805,20,35.5,15,174
53033025806,44,34.7,17,205
53033026001,4,45.0,13,138
53033026002,19,32.8,69,328
53033026100,32,33.6,48,349
53033026200,54,36.4,22,310
53033026300,12,40.1,11,82
53033026400,30,36.3,39,263
53033026500,20,33.8,24,285
53033026600,17,38.8,17,101
53033026700,44,37.0,16,216
53033026801,36,34.8,33,322
53033026802,39,37.5,41,332
53033027000,29,40.6,21,144
53033027100,16,35.4,12,180
53033027200,8,35.1,15,161
53033027300,54,34.8,20,351
53033027400,42,39.5,26,294
53033027500,49,39.9,22,225
53033027600,41,37.5,19,181
53033027701,8,51.6,0,23
53033027702,30,56.2,4,50
53033027800,16,55.2,5,57
53033027900,41,37.9,29,247
53033028000,38,33.6,16,182
53033028100,12,32.7,17,216
53033028200,24,32.4,35,299
53033028300,24,38.3,26,264
53033028402,58,33.5,20,289
53033028403,17,41.7,24,304
53033028500,28,34.5,26,144
53033028600,52,50.8,12,124
53033028700,50,42.0,11,123
53033028801,28,40.3,5,139
53033028802,28,30.7,37,339
53033028901,33,48.5,13,121
53033028902,80,30.9,34,390
53033029001,41,47.7,21,167
53033029003,44,39.9,22,292
53033029004,26,28.6,28,260
53033029101,13,37.4,12,122
53033029102,33,38.8,10,203
53033029203,12,33.4,14,176
53033029204,45,27.7,23,315
53033029205,41,36.3,13,207
53033029206,54,30.8,14,215
53033029303,27,40.1,31,244
53033029304,20,40.6,6,145
53033029305,20,40.4,24,176
53033029306,8,41.7,9,121
53033029307,27,39.8,10,114
53033029403,13,33.9,13,258
53033029405,32,39.3,11,213
53033029406,29,37.6,17,171
53033029407,37,31.5,60,334
53033029408,12,36.3,16,212
53033029502,24,35.6,31,316
53033029503,66,31.5,40,447
53033029504,8,32.4,29,317
53033029601,56,33.6,44,421
53033029602,36,39.1,20,286
53033029700,49,38.0,24,426
53033029801,60,32.8,32,391
53033029802,42,37.6,31,408
53033029901,24,35.2,14,257
53033029902,29,44.2,13,201
53033030003,25,37.5,21,327
53033030004,53,28.1,36,526
53033030005,44,31.7,33,417
53033030006,41,39.8,36,213
53033030100,40,42.4,15,226
53033030201,28,37.8,11,218
53033030202,50,34.5,44,502
53033030304,24,35.2,16,194
53033030305,34,44.3,12,201
53033030306,32,38.8,15,211
53033030308,46,32.8,12,271
53033030309,28,36.0,19,226
53033030310,21,35.3,17,255
53033030311,37,35.9,18,282
53033030312,19,33.2,16,245
53033030313,12,36.3,12,253
53033030314,22,47.2,8,147
53033030401,56,38.2,28,416
53033030403,28,46.8,19,161
53033030404,36,40.7,17,162
53033030501,44,49.1,8,170
53033030503,62,38.4,23,351
53033030504,41,35.5,25,233
53033030600,36,38.6,18,318
53033030700,20,37.5,18,246
53033030801,36,31.5,51,706
53033030802,23,36.3,17,257
53033030901,24,31.5,24,157
53033030902,74,30.0,25,322
53033031000,19,37.5,9,147
53033031100,85,38.0,23,374
53033031202,28,42.3,14,212
53033031204,20,47.7,7,148
53033031205,54,28.5,30,454
53033031206,20,27.7,34,199
53033031301,8,46.0,4,79
53033031302,17,36.8,8,103
53033031400,46,42.2,56,250
53033031501,16,41.8,10,74
53033031502,17,47.1,8,94
53033031601,16,41.4,13,108
53033031603,37,37.1,10,141
53033031604,44,33.9,13,109
53033031605,18,42.6,4,79
53033031703,60,46.9,27,248
53033031704,46,35.7,13,323
53033031706,40,37.1,24,212
53033031800,12,48.9,14,127
53033031903,31,41.8,14,168
53033031904,12,43.8,6,78
53033031906,15,45.5,7,88
53033031907,37,37.4,24,159
53033031908,16,35.9,9,91
53033031909,21,42.0,5,79
53033032002,16,43.4,3,58
53033032003,36,42.2,9,128
53033032005,61,40.3,18,224
53033032006,4,41.3,19,104
53033032007,21,41.9,3,71
53033032010,42,36.6,9,149
53033032011,55,36.2,12,105
53033032102,20,44.5,3,59
53033032103,40,36.2,12,86
53033032104,75,44.4,94,217
53033032203,22,38.8,11,94
53033032207,20,42.1,10,61
53033032208,29,43.3,18,225
53033032210,150,35.0,27,158
53033032211,34,39.1,3,69
53033032212,50,36.5,5,94
53033032213,26,43.6,8,70
53033032214,66,38.3,5,67
53033032215,72,39.6,4,74
53033032307,58,42.0,9,87
53033032309,70,30.9,51,158
53033032311,36,45.6,6,61
53033032313,42,34.1,7,66
53033032315,16,47.0,12,63
53033032316,24,41.7,4,72
53033032317,37,39.1,2,70
53033032318,34,37.0,2,57
53033032319,25,35.7,16,109
53033032320,20,45.8,7,72
53033032321,36,40.9,7,54
53033032322,4,44.1,4,22
53033032323,39,39.4,20,111
53033032324,28,34.8,15,85
53033032325,33,34.1,14,100
53033032326,8,47.1,7,94
53033032327,15,65.7,9,64
53033032329,20,36.7,11,77
53033032401,40,38.8,3,69
53033032402,38,40.0,9,94
53033032500,54,43.6,3,65
53033032601,12,42.6,5,52
53033032602,262,35.7,20,253
53033032702,41,40.4,9,109
53033032703,21,37.4,1,25
53033032704,71,39.9,4,164
53033032800,32,47.4,5,34
53035080102,10,30.6,0,0
53035080200,4,38.1,0,0
53035080400,12,38.7,0,0
53035080500,4,37.2,0,0
53035080600,23,35.3,0,0
53035080700,16,51.3,0,0
53035080900,12,37.1,0,0
53035081000,4,39.2,0,0
53035081100,10,39.5,0,0
53035090102,28,54.5,0,0
53035090202,29,39.7,0,0
53035090501,54,49.4,0,0
53035090700,12,49.5,0,0
53035090800,23,50.8,0,0
53035090900,17,50.3,0,0
53035091000,35,50.5,0,0
53035091100,41,45.9,0,0
53035091201,9,36.8,0,0
53035091203,35,30.5,0,0
53035091302,30,47.1,0,0
53035091400,16,42.7,0,0
53035091700,18,36.0,0,0
53035092100,33,37.0,0,0
53035092200,23,34.8,0,0
53035092300,41,34.3,0,0
53035092400,38,35.4,0,0
53035092500,37,41.8,0,0
53035092600,37,39.9,0,0
53035092701,22,44.9,0,0
53035092803,12,42.4,0,0
53035092901,20,47.8,0,1
53035940000,16,44.5,0,0
53037975100,12,47.1,0,0
53037975200,46,54.0,0,0
53037975300,23,42.3,0,0
53037975401,31,21.3,0,0
53037975402,27,41.6,0,0
53037975500,77,25.6,0,0
53037975600,20,27.8,0,0
53039950100,21,47.4,0,0
53039950200,20,47.5,0,0
53039950300,20,45.4,0,0
53041970500,8,39.7,0,1
53041970800,4,34.3,0,0
53041971300,13,41.7,0,0
53041971400,12,45.9,0,0
53045960400,24,40.7,0,0
53045960500,16,58.7,0,0
53045960600,39,37.1,0,0
53045960800,4,40.8,0,0
53047970800,24,32.4,0,0
53047970900,7,59.1,0,0
53049950400,16,45.0,0,0
53053060200,8,34.9,0,0
53053060300,30,47.2,0,0
53053060400,34,44.0,0,0
53053060600,20,34.4,0,0
53053060700,33,27.8,0,0
53053060800,33,36.4,0,0
53053060904,24,40.8,0,0
53053060905,33,46.0,0,0
53053060906,12,44.3,0,0
53053061001,23,45.6,0,0
53053061002,22,40.9,0,0
53053061100,12,38.5,0,0
53053061200,32,36.6,0,1
53053061300,48,32.9,0,0
53053061400,28,36.0,0,1
53053061500,25,35.1,0,0
53053061601,20,41.2,0,1
53053061700,36,33.0,0,0
53053061800,28,38.7,0,0
53053062000,43,35.5,0,0
53053062300,37,34.0,0,0
53053062400,16,31.4,0,0
53053062500,36,33.5,0,0
53053062600,21,31.0,0,0
53053062801,44,28.3,0,0
53053062802,20,31.8,0,1
53053062900,16,33.2,0,1
53053063300,63,31.6,0,0
53053063400,37,35.9,0,0
53053063501,16,37.8,0,0
53053063502,25,37.6,0,0
53053070100,49,36.6,0,0
53053070203,37,34.6,0,0
53053070205,16,37.2,0,1
53053070207,28,36.6,0,0
53053070307,59,39.2,0,2
53053070308,29,31.6,0,0
53053070309,41,40.2,0,0
53053070310,36,34.3,0,0
53053070311,8,32.7,0,0
53053070312,20,35.2,0,0
53053070313,36,39.4,0,0
53053070314,20,39.8,0,0
53053070315,52,36.8,0,2
53053070316,38,36.5,0,1
53053070401,8,45.3,0,0
53053070403,54,44.0,0,0
53053070404,41,34.2,0,0
53053070703,32,36.4,0,1
53053071100,4,48.8,0,1
53053071206,34,37.5,0,1
53053071207,29,34.5,0,0
53053071208,31,37.8,0,0
53053071209,38,42.2,0,0
53053071305,12,40.5,0,0
53053071306,34,36.2,0,0
53053071309,12,33.4,0,0
53053071310,12,34.7,0,0
53053071406,91,33.7,0,0
53053071407,4,34.1,0,0
53053071408,8,38.5,0,0
53053071409,25,34.6,0,0
53053071410,16,31.6,0,0
53053071411,28,30.2,0,0
53053071504,16,23.5,0,0
53053071601,8,35.7,0,0
53053071602,46,29.3,0,0
53053071703,12,30.5,0,0
53053071707,8,35.8,0,0
53053071803,24,30.5,0,0
53053071806,24,28.9,0,0
53053071807,49,31.4,0,1
53053071808,43,30.8,0,0
53053072105,34,48.2,0,0
53053072107,33,46.3,0,0
53053072112,54,31.8,0,0
53053072307,20,33.8,0,0
53053072308,38,40.0,0,0
53053072309,33,33.6,0,0
53053072310,21,36.2,0,0
53053072311,59,32.9,0,1
53053072313,40,43.9,0,0
53053072405,4,45.7,0,0
53053072407,24,44.3,0,0
53053072408,38,47.1,0,0
53053072409,15,45.8,0,0
53053072410,28,47.5,0,1
53053072503,20,47.7,0,0
53053072505,34,46.7,0,0
53053072507,17,58.5,0,0
53053072603,36,48.0,0,0
53053072800,131,31.7,0,0
53053073001,8,42.9,0,0
53053073005,4,47.2,0,0
53053073108,51,32.0,0,0
53053073111,9,35.9,0,0
53053073113,55,32.4,0,0
53053073115,20,40.1,0,0
53053073116,18,35.3,0,0
53053073118,27,44.0,0,0
53053073120,12,32.6,0,0
53053073121,16,38.2,0,0
53053073122,17,33.6,0,0
53053073125,40,32.3,0,0
53053073301,45,33.9,0,0
53053073302,20,35.9,0,0
53053073404,39,42.4,0,0
53053073405,24,36.8,0,0
53053073406,40,36.0,0,0
53053073407,4,39.4,0,1
53053073408,31,40.9,0,0
53053073500,55,41.4,0,1
53053940001,35,48.0,0,0
53053940002,36,36.3,0,2
53053940003,79,30.7,0,0
53053940005,44,37.1,0,1
53053940006,28,26.9,0,0
53053940007,20,32.8,0,1
53053940008,72,36.9,1,1
53053940009,17,41.6,0,1
53053940010,24,38.6,0,0
53053940011,50,47.7,0,1
53055960100,8,57.5,0,0
53057940300,24,53.6,0,0
53057940500,12,41.4,0,0
53057940600,12,53.0,0,0
53057940700,4,51.2,0,0
53057940800,8,57.5,0,0
53057950100,12,63.8,0,0
53057950800,41,43.2,0,0
53057950900,28,40.3,0,0
53057951100,12,50.3,0,0
53057951200,33,47.0,0,0
53057951500,58,35.0,0,0
53057951600,16,41.5,0,0
53057951700,31,38.2,0,0
53057951900,12,49.8,0,0
53057952100,33,52.5,0,0
53057952301,21,27.9,0,0
53057952302,40,33.8,0,0
53057952402,63,44.5,0,0
53057952500,12,38.1,0,0
53061040100,32,33.1,0,0
53061040200,12,37.5,0,0
53061040400,25,31.2,0,0
53061040500,8,36.2,0,0
53061040700,29,39.2,0,1
53061040800,16,38.2,0,0
53061041000,32,42.6,0,0
53061041100,50,35.7,0,0
53061041201,8,36.8,0,0
53061041202,33,37.1,0,0
53061041301,12,46.7,0,0
53061041303,69,35.5,0,0
53061041304,16,46.3,0,0
53061041400,28,40.8,0,0
53061041601,20,39.2,0,0
53061041605,16,37.0,0,0
53061041606,21,36.7,0,1
53061041607,12,39.8,0,1
53061041608,20,38.2,0,0
53061041701,53,34.5,0,0
53061041703,39,35.6,0,1
53061041704,48,35.8,0,0
53061041805,44,38.2,0,0
53061041806,31,30.1,0,0
53061041808,12,35.8,0,0
53061041809,33,31.3,0,0
53061041810,28,30.3,0,1
53061041811,34,34.2,0,0
53061041812,37,33.9,0,0
53061041901,32,36.7,0,0
53061041903,116,30.5,0,0
53061041905,24,33.7,1,1
53061042001,20,46.3,0,0
53061042003,12,45.7,0,0
53061042004,8,39.6,0,0
53061042005,18,46.7,0,0
53061042006,30,38.3,0,0
53061050101,8,40.3,0,0
53061050102,22,39.1,0,0
53061050200,34,54.1,0,1
53061050300,25,48.4,0,0
53061050401,27,43.2,0,0
53061050402,12,43.0,1,2
53061050500,17,57.4,0,0
53061050600,12,49.1,0,0
53061050700,47,36.2,0,0
53061050800,24,42.3,0,0
53061050900,12,32.7,0,0
53061051000,12,37.0,1,3
53061051100,25,42.3,0,1
53061051200,29,36.9,0,0
53061051300,60,37.2,0,1
53061051400,49,37.2,0,3
53061051500,37,37.1,1,1
53061051601,33,36.6,0,0
53061051602,28,49.2,0,0
53061051701,55,39.3,0,1
53061051702,24,43.9,0,0
53061051802,16,37.7,0,0
53061051803,17,27.5,0,0
53061051804,21,33.2,0,0
53061051905,36,36.8,1,2
53061051912,8,45.1,0,0
53061051913,64,41.7,0,0
53061051914,24,46.8,1,1
53061051915,45,36.2,1,1
53061051916,24,37.6,0,0
53061051917,30,40.4,0,1
53061051918,16,41.0,0,0
53061051921,32,34.1,0,0
53061051922,36,34.6,0,0
53061051923,58,30.8,0,0
53061051924,40,34.0,0,0
53061051925,29,34.6,0,0
53061051926,43,39.0,0,0
53061051927,25,38.4,0,0
53061051928,28,30.9,0,0
53061052003,59,30.4,0,0
53061052004,41,39.8,0,1
53061052005,22,44.9,1,1
53061052006,10,39.9,0,0
53061052007,30,35.6,0,1
53061052104,20,32.9,0,0
53061052107,24,35.9,0,0
53061052108,20,43.9,0,0
53061052112,25,47.2,0,0
53061052113,8,46.5,0,0
53061052115,36,36.5,0,0
53061052118,20,37.3,0,0
53061052203,52,36.6,0,0
53061052204,51,32.2,0,1
53061052206,12,39.5,0,0
53061052207,8,39.0,0,0
53061052208,28,30.8,0,0
53061052209,13,35.7,0,1
53061052301,25,45.2,0,0
53061052302,20,43.6,0,0
53061052401,16,42.4,0,0
53061052402,18,36.5,0,0
53061052503,36,34.5,0,0
53061052603,20,37.5,0,0
53061052604,9,39.1,0,0
53061052605,57,39.5,0,0
53061052606,41,32.9,0,1
53061052607,20,36.8,0,0
53061052705,57,38.1,0,0
53061052709,17,37.5,0,0
53061052803,28,34.5,0,0
53061052806,44,32.6,0,0
53061052903,8,29.9,0,0
53061052904,29,37.7,0,0
53061052905,24,37.3,0,0
53061052906,16,39.2,0,0
53061053101,36,35.1,0,0
53061053102,16,44.1,0,0
53061053301,32,33.6,0,0
53061053302,20,44.7,0,0
53061053400,16,50.9,0,0
53061053504,65,39.7,0,0
53061053505,25,43.4,0,0
53061053506,16,48.2,1,1
53061053507,21,37.5,0,0
53061053509,32,37.6,0,0
53061053602,24,41.9,0,0
53061053801,21,43.2,0,0
53061053802,26,38.2,0,0
53061053803,24,49.0,0,0
53061940002,12,44.8,0,0
53063000300,30,33.8,0,0
53063000700,28,36.1,0,0
53063001100,16,39.1,0,0
53063001200,4,31.2,0,0
53063002500,39,21.5,0,0
53063002600,50,33.1,0,0
53063003100,41,35.9,0,0
53063003200,4,35.2,0,0
53063003500,32,49.5,0,0
53063004100,17,46.8,0,0
53063004200,35,42.9,0,0
53063004602,33,35.7,0,0
53063004800,24,40.6,0,0
53063010401,56,34.7,0,0
53063010900,34,21.9,0,0
53063011101,42,39.9,0,0
53063011300,63,38.8,0,0
53063012401,36,45.2,0,0
53063012402,41,42.8,0,0
53063012500,25,35.4,0,0
53063013000,39,38.4,0,0
53063013100,57,38.6,0,0
53063013201,20,41.8,0,0
53063013500,56,41.5,0,0
53063013600,22,34.8,0,0
53063013700,23,35.1,0,0
53063014001,36,21.7,0,0
53063014002,34,24.7,0,1
53063014100,63,37.5,0,0
53063014400,66,34.5,0,0
53065950500,10,38.5,0,0
53065950900,4,55.0,0,0
53065951100,4,47.2,0,0
53067010100,19,39.9,0,1
53067010200,16,46.8,0,0
53067010400,28,43.4,0,0
53067010520,31,34.4,0,0
53067010600,32,32.4,0,0
53067010700,25,40.1,0,0
53067010800,40,42.0,0,0
53067010910,80,33.8,0,0
53067010920,22,42.6,0,0
53067011200,24,30.4,0,0
53067011420,27,36.3,0,0
53067011500,16,34.7,0,0
53067011610,36,39.8,0,0
53067011621,32,34.5,0,0
53067011623,24,33.3,0,0
53067011900,31,47.8,0,0
53067012000,21,42.9,0,0
53067012100,16,52.5,0,0
53067012221,8,42.1,0,0
53067012222,36,41.5,0,0
53067012310,40,37.0,0,0
53067012520,19,50.3,0,0
53067012530,12,41.1,0,0
53069950100,10,55.1,0,1
53071920200,28,37.4,0,0
53071920300,38,35.5,0,0
53071920702,38,37.6,0,0
53073000100,17,36.5,0,0
53073000200,48,38.3,0,0
53073000300,25,34.2,0,0
53073000400,38,41.9,0,0
53073000501,28,24.9,0,0
53073000502,8,34.3,0,0
53073000600,12,30.5,0,0
53073000700,34,32.6,0,0
53073000803,62,36.8,0,0
53073000804,25,43.1,0,0
53073000806,20,40.1,0,0
53073000901,30,30.7,0,0
53073000902,56,43.5,0,0
53073001000,42,20.7,0,0
53073001100,20,50.8,0,0
53073001201,16,23.2,0,0
53073001202,17,56.0,0,0
53073010100,4,40.0,0,0
53073010301,31,35.2,0,0
53073010302,31,45.9,0,0
53073010303,55,37.3,0,0
53073010401,48,41.6,0,0
53073010404,15,47.1,0,0
53073010501,90,40.7,0,0
53073010502,55,38.2,0,0
53073010600,16,37.8,0,0
53073010701,20,41.6,0,0
53073010702,20,35.4,0,0
53073010900,4,61.3,0,0
53073940000,12,37.3,0,0
53075000100,19,20.4,0,1
53075000200,30,28.7,0,0
53075000300,16,32.7,0,0
53075000400,21,35.3,0,0
53075000600,4,22.4,0,0
53075001000,4,42.0,0,0
53077000100,8,30.3,0,0
53077000200,21,26.0,0,0
53077000400,33,48.8,1,1
53077000500,14,43.6,0,0
53077000800,12,43.5,0,0
53077000901,20,40.5,0,0
53077000902,26,36.6,0,0
53077001000,21,31.9,0,0
53077001100,30,35.6,0,0
53077001300,8,37.5,0,0
53077001501,25,24.6,0,0
53077001602,33,40.2,0,0
53077002200,31,37.4,1,2
53077003002,25,44.6,0,0
53077003200,54,33.9,0,1
53077003400,24,40.3,0,0
53077940001,16,31.8,0,0
53077940004,29,27.0,0,1
